name,power,area,delay
mul8_10,163.70000000000002,212.784004,0.66871
mul8_100,159.8,205.764004,0.62789
mul8_123,156.5,205.140004,0.64849
mul8_134,171.1,230.880003,0.63357
mul8_13,163.6,222.612004,0.6744
mul8_30,175.7,240.084004,0.67121
mul8_3,156.29999999999998,201.708003,0.63627
mul8_149,163.39999999999998,205.452003,0.6404
mul8_103,157.6,202.488004,0.60195
mul8_128,171.2,223.704004,0.6728
mul8_6,160.0,203.268004,0.61464
mul8_130,157.20000000000002,207.636003,0.62257
mul8_53,160.70000000000002,207.636003,0.62012
mul8_83,157.6,204.516003,0.60571
mul8_141,164.3,227.604004,0.64143
mul8_32,164.1,228.384003,0.66262
mul8_124,177.8,241.332004,0.75406
mul8_59,164.89999999999998,206.856003,0.65014
mul8_142,169.0,234.624004,0.6479
mul8_140,154.9,204.360004,0.64154
mul8_1,168.0,226.980004,0.67322
mul8_125,160.8,203.268003,0.63208
mul8_61,168.8,226.980004,0.65335
mul8_62,154.0,204.204004,0.61501
mul8_65,158.70000000000002,205.452004,0.61464
mul8_90,155.79999999999998,204.360004,0.61505
mul8_143,160.20000000000002,204.048003,0.62806
mul8_76,164.5,224.952004,0.65542
mul8_19,155.79999999999998,204.828004,0.62792
mul8_7,170.2,231.504003,0.65254
mul8_82,166.1,230.100004,0.66341
mul8_18,155.20000000000002,204.672004,0.62792
mul8_28,169.9,231.504004,0.74945
mul8_135,177.2,240.552004,0.73298
mul8_23,183.0,245.388005,0.71641
mul8_47,164.1,211.068004,0.67921
mul8_87,159.8,208.884004,0.63651
mul8_15,161.20000000000002,212.004004,0.6653
mul8_137,156.29999999999998,202.488003,0.65997
mul8_115,164.20000000000002,227.604004,0.64143
mul8_144,164.3,213.720004,0.63796
mul8_21,160.70000000000002,203.736003,0.61293
mul8_92,166.4,231.972004,0.66401
mul8_43,154.79999999999998,204.984004,0.6248
mul8_131,157.20000000000002,200.928004,0.59835
mul8_114,163.39999999999998,216.684003,0.67153
mul8_85,159.70000000000002,205.764004,0.62978
mul8_42,160.5,209.196004,0.62976
mul8_39,166.4,231.816004,0.6479
mul8_4,175.2,236.340004,0.72693
mul8_17,159.5,205.452003,0.64869
mul8_108,164.0,216.840004,0.64189
mul8_96,153.5,202.800004,0.65889
mul8_119,167.9,218.088004,0.66008
mul8_84,160.1,210.132004,0.65731
mul8_16,172.4,228.072004,0.68096
mul8_12,166.4,218.400004,0.66709
mul8_5,162.8,205.608003,0.66196
mul8_79,162.0,212.472004,0.65759
mul8_81,155.79999999999998,203.736004,0.60747
mul8_11,157.1,203.892004,0.60753
mul8_68,183.9,244.764004,0.74822
mul8_89,159.3,205.608003,0.67238
mul8_49,164.39999999999998,226.824004,0.64209
mul8_63,154.4,204.360004,0.61501
mul8_73,160.39999999999998,207.168004,0.62788
mul8_70,172.5,236.808004,0.70365
mul8_56,169.2,230.412003,0.65514
mul8_72,170.3,232.908004,0.64892
mul8_27,166.1,223.080004,0.64557
mul8_9,174.7,235.872004,0.68924
